method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,train_fair_std,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07524,0.00137,0.07521,0.00143,124.63478,0.53551,106.66608,0.51439,395.18172,396.21098,5,0,0
fdfl-scal,0.5,0.07134,0.00193,0.0713,0.00188,122.91598,1.22799,105.11704,1.0944,391.62862,392.6313,5,0,0
fdfl-scal,1.0,0.06498,0.00371,0.06513,0.00348,116.13463,6.15853,99.24904,5.25088,381.02615,382.02026,5,0,0
fdfl-scal,5.0,0.0701,0.001,0.07284,0.00107,3.03114,2.22981,25.72911,10.10427,259.38789,251.02643,5,0,0
fplg,0.0,0.07545,0.00139,0.07542,0.00146,124.7203,0.52608,106.74712,0.50559,395.45902,396.49094,5,0,0
fplg,0.5,0.07517,0.00136,0.07514,0.00142,124.64078,0.53586,106.6734,0.51395,395.26532,396.29525,5,0,0
fplg,1.0,0.07486,0.00133,0.07483,0.00139,124.55285,0.54812,106.59221,0.52398,395.06303,396.0909,5,0,0
fplg,5.0,0.07433,0.0013,0.0743,0.00134,124.4059,0.57275,106.45744,0.54346,394.76283,395.78761,5,0,0
fpto,0.0,0.05971,0.00191,0.06024,0.00207,59.65776,16.70764,51.47929,12.4308,263.67029,264.38006,5,0,0
fpto,0.5,0.06124,0.00152,0.062,0.0016,31.25025,1.09876,33.41315,1.68584,200.37225,202.01335,5,0,0
fpto,1.0,0.05823,0.00098,0.05905,0.00107,26.70971,0.91633,31.18153,1.32502,185.32527,187.33422,5,0,0
fpto,5.0,0.05125,0.00065,0.05292,0.0007,4.31598,2.46203,31.6318,10.22621,168.13892,167.12614,5,0,0
mgda,0.0,0.07571,0.00142,0.07568,0.00149,124.79447,0.51815,106.81623,0.4985,395.65221,396.68612,5,0,0
pcgrad,0.0,0.05674,0.00116,0.05759,0.00119,25.92822,1.14544,30.70706,1.33307,182.03606,184.20342,5,0,0
saa,0.0,0.07525,0.0,0.07517,0.0,62.86619,0.0,49.92568,0.0,247.80422,248.68791,5,0,0
wdro,0.0,0.05991,0.00168,0.06056,0.00178,32.87892,1.54246,33.57356,1.26747,197.6156,199.12883,5,0,0
