variant,method,alpha,mean_rank,std_rank,min_rank,max_rank,borda_sum
a,fdfl-scal,0.5,4.875,1.436,3.0,6.5,19.5
a,fdfl-scal,2.0,4.0,1.414,3.0,6.0,16.0
a,fplg,0.5,4.75,0.957,4.0,6.0,19.0
a,fplg,2.0,4.25,2.062,2.0,7.0,17.0
a,fpto,0.5,3.25,2.63,1.0,7.0,13.0
a,fpto,2.0,2.75,1.708,1.0,5.0,11.0
a,mgda,0.5,5.625,2.428,2.0,7.0,22.5
a,mgda,2.0,5.25,2.217,2.0,7.0,21.0
a,pcgrad,0.5,2.75,1.708,1.0,5.0,11.0
a,pcgrad,2.0,3.5,1.915,1.0,5.0,14.0
a,saa,0.5,3.75,2.062,1.0,6.0,15.0
a,saa,2.0,5.25,2.872,1.0,7.0,21.0
a,wdro,0.5,3.0,2.16,1.0,6.0,12.0
a,wdro,2.0,3.0,1.826,1.0,5.0,12.0
b,fdfl-scal,0.5,4.75,1.258,3.0,6.0,19.0
b,fdfl-scal,2.0,3.75,1.5,3.0,6.0,15.0
b,fplg,0.5,4.75,0.957,4.0,6.0,19.0
b,fplg,2.0,5.0,2.16,2.0,7.0,20.0
b,fpto,0.5,3.0,2.16,1.0,6.0,12.0
b,fpto,2.0,3.0,1.155,2.0,4.0,12.0
b,mgda,0.5,5.5,2.38,2.0,7.0,22.0
b,mgda,2.0,4.0,2.944,1.0,7.0,16.0
b,pcgrad,0.5,2.5,1.732,1.0,5.0,10.0
b,pcgrad,2.0,3.25,1.708,1.0,5.0,13.0
b,saa,0.5,4.0,2.449,1.0,7.0,16.0
b,saa,2.0,5.25,2.872,1.0,7.0,21.0
b,wdro,0.5,3.5,2.517,1.0,7.0,14.0
b,wdro,2.0,3.75,1.893,1.0,5.0,15.0
