task,method,seed,stage_idx,lambda,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,val_decision_ms_eval,test_decision_ms_eval,test_decision_ms,test_decision_alloc_gap,test_decision_selection_gap,test_decision_welfare_gap,cumulative_wallclock_sec,method_label,alpha_fair,unfairness_level,group_bias,group_ratio,config_name
md_knapsack,fdfl-scal,55,0,0.0,,,,0.1476870455427321,0.06869658295516176,0.7552313271715472,22.82577126699971,6720,400.0,22504.342369000824,1246.3212780003232,0,0,1.662971255827897,1.0244394721278722,1.5298666903364244,3.2018302219582333,0.24704645542245457,0.08887113572359288,0.41136302550921566,16.83988844669381,cpu,,0.010204757486837112,,0.01998926551045575,,,0.0,1246.3212780003232,1246.3212780003232,0.07235188279470561,0.0945,0.39117189062800045,22.82577126699971,FDFL-Scal,0.5,high,0.6,0.75,FDFL-Scal
md_knapsack,fdfl-scal,55,1,0.5,,,,0.16336366062245353,0.012864595457719268,0.8009334013005368,22.852095470999757,6720,400.0,22522.57899399956,1185.290093000276,0,0,2.122730752437284,1.0146701245695031,2.05307760745296,3.981513323789552,0.2576978724355254,0.11241021851426888,0.37887535621363794,16.84819692426796,cpu,,0.01126142592276995,,0.02201200807135589,,,0.0,1185.290093000276,1185.290093000276,0.03879903265405543,0.049000000000000016,0.35012925729278505,45.677866737999466,FDFL-Scal,0.5,high,0.6,0.75,FDFL-Scal
md_knapsack,fdfl-scal,55,2,1.0,,,,0.1811960929244204,0.01465848080264434,0.9121066024831095,22.813062878999972,6720,400.0,22486.437087998638,1286.1690350000572,0,0,2.6210616609504873,1.2964188919096429,2.458716782439797,4.79715479785813,0.27399916072562436,0.10513505181890165,0.3670358364279324,16.849153919956574,cpu,,0.0124340888472737,,0.024309518421726285,,,0.0,1286.1690350000572,1286.1690350000572,0.04230907607028278,0.064,0.3561276028096273,68.49092961699944,FDFL-Scal,0.5,high,0.6,0.75,FDFL-Scal
md_knapsack,fdfl-scal,55,3,5.0,,,,0.3355316826844984,0.11240417968280797,1.329452973976683,23.197190631000012,6720,400.0,22871.777079996264,1232.174275000034,0,0,8.343359312773481,4.936114916934727,8.273528328232807,17.62996190393642,0.2735632994523437,0.08318931426583606,0.1520327432511161,16.8456525425956,cpu,,0.023072764104124746,,0.04455713162003632,,,0.0,1232.174275000034,1232.174275000034,0.09052537968406227,0.20350000000000001,0.42228436166073047,91.68812024799945,FDFL-Scal,0.5,high,0.6,0.75,FDFL-Scal
